COD_ISO,NOMBRE_PROVINCIA
A,ALICANTE
AB,ALBACETE
AL,ALMERIA
AV,AVILA
B,BARCELONA
BA,BADAJOZ
BI,BIZKAIA
BU,BURGOS
C,A CORUÃ‘A
CA,CADIZ
CC,CACERES
CE,CEUTA
CO,CORDOBA
CR,CIUDAD REAL
CS,CASTELLON
CU,CUENCA
GC,LAS PALMAS
GI,GIRONA
GR,GRANADA
GU,GUADALAJARA
H,HUELVA
HU,HUESCA
J,JAEN
L,LLEIDA
LE,LEON
LO,LA RIOJA
LU,LUGO
M,MADRID
MA,MALAGA
ML,MELILLA
MU,MURCIA
NA,NAVARRA
O,ASTURIAS
OR,OURENSE
P,PALENCIA
PM,ILLES BALEARS
PO,PONTEVEDRA
S,CANTABRIA
SA,SALAMANCA
SE,SEVILLA
SG,SEGOVIA
SO,SORIA
SS,GIPUZKOA
T,TARRAGONA
TE,TERUEL
TF,STA. CRUZ DE TENERIFE
TO,TOLEDO
V,VALENCIA
VA,VALLADOLID
VI,ARABA/ALAVA
Z,ZARAGOZA
ZA,ZAMORA
